id,latitude,longitude,address
21488,40.3474954,-3.6903199,"Calle del Estroncio, 11, Los Rosales, Madrid"
21483,40.3474954,-3.6903199,"Calle del estroncio, 11, Los Rosales, Madrid"
21478,40.3431235,-3.6855057,"Calle de Rocafort, 14 j, San Cristóbal, Madrid"
21477,40.33938985,-3.6785247500000047,"maricara, Butarque, Madrid"
21472,40.3485658,-3.6847772,"Calle de Benimamet, 6, San Cristóbal, Madrid"
21461,40.34316665,-3.691714807487149,"Plaza Pinazo, San Cristóbal, Madrid"
21454,40.3437031,-3.6909081,"Calle Beniferri, San Cristóbal, Madrid"
21451,40.3533289,-3.6910283,"Sahara, Los Rosales, Madrid"
21447,40.3597743,-3.6912572,"Generosidad, 14, Los Rosales, Madrid"
21445,40.3532352,-3.6899154,"Calle de Martinez Oviol, 40, Los Rosales, Madrid"
21439,40.3431235,-3.6855057,"Calle de rocafort, 51, San Cristóbal, Madrid"
21437,40.3497332,-3.6941772,"Calle Ampuero, Los Ángeles, Madrid"
21434,40.3486538,-3.6846931,"Calle de Benimamet, Madrid, San Cristóbal, Madrid"
21426,40.3516003,-3.6926224,"Calle de Juan José Martínez Seco, 87, Los Rosales, Madrid"
21423,40.350523,-3.6877894,"Encarnación oviol, 45, Los Rosales, Madrid"
21422,40.3475755,-3.6771178,"Calle de Berrocal, 3, Butarque, Madrid"
21421,40.3478425,-3.6779511,"Calle Bario, 20, Butarque, Madrid"
21417,40.3384998,-3.6764999,"Calle Ganados del Salobral, 4, Butarque, Madrid"
21412,40.3519946,-3.6804641,"Calle Potasa, Butarque, Madrid"
21409,40.3474954,-3.6903199,"Calle del Estroncio, 9, Los Rosales, Madrid"
21402,40.34920345,-3.6999041,"Paseo Talleres, 4, Los Ángeles, Madrid"
21400,40.3431235,-3.6855057,"Calle de Rocafort, 51, San Cristóbal, Madrid"
21399,40.3495092,-3.7009946,"Calle Litos, Los Ángeles, Madrid"
21397,40.35354395,-3.695485959174469,"Calle de la Alegría de la Huerta, 24, Los Ángeles, Madrid"
21396,40.3504996,-3.6985953,"Travesía Arechavaleta, Los Ángeles, Madrid"
21388,40.3422441,-3.6858806,"rocafort, San Cristóbal, Madrid"
21386,40.3431235,-3.6855057,"Calle de Rocafort, 17, San Cristóbal, Madrid"
21381,40.3407374,-3.685635,"Calle de Paterna, 48, San Cristóbal, Madrid"
21378,40.3441092,-3.6911854,"Plaza Pinazo, 27, San Cristóbal, Madrid"
21376,40.3608361,-3.6943657,"Calle Pan y Toros, 3, Los Ángeles, Madrid"
21375,40.3523635,-3.6814088,"Calle Tántalo, 10, Butarque, Madrid"
21374,40.3544635,-3.6875942,"Calle Selma Lagerloff, 15, Los Rosales, Madrid"
21373,40.3409889,-3.6748546,"Calle Berrocal, 10, Butarque, Madrid"
21370,40.3445124,-3.6894412,"Calle de Godella, 227, San Cristóbal, Madrid"
21369,40.35008175,-3.69621952875,"Calle Pimienta, 4, Los Ángeles, Madrid"
21368,40.3412224,-3.6758888,"Calle de Berrocal, 72, Butarque, Madrid"
21366,40.3445124,-3.6894412,"Calle de Godella, 219, San Cristóbal, Madrid"
21365,40.349198,-3.6857459,"Calle Azufre, 3, Los Rosales, Madrid"
21363,40.359687050000005,-3.694930000503103,"Calle Pan y Toros, 10, Los Ángeles, Madrid"
21362,40.3516003,-3.6926224,"Calle de Juan José Martínez Seco, 11, Los Rosales, Madrid"
21360,40.3475755,-3.6771178,"Calle Berrocal, 3, Butarque, Madrid"
21351,40.3409889,-3.6748546,"Calle de Berrocal, 64, Butarque, Madrid"
21349,40.3407374,-3.685635,"Calle de Paterna, 17, San Cristóbal, Madrid"
21348,40.351006,-3.697818865293204,"Travesía Arechavaleta, 2, Los Ángeles, Madrid"
21347,40.3548912,-3.6811226,"Calle Uranio, 9, Butarque, Madrid"
21346,40.3488043,-3.6853658,"Calle Turba, 1, Los Rosales, Madrid"
21345,40.3531696,-3.6831755,"Calle Eduardo Maristany, 1, Butarque, Madrid"
21344,40.3595383,-3.6942498,"Pan y Toros, 17, Los Ángeles, Madrid"
21343,40.3431235,-3.6855057,"Calle de Rocafort, 25, San Cristóbal, Madrid"
