id,latitude,longitude,address,sq_mt_built,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,floor,buy_price,is_renewal_needed,has_lift,is_exterior,energy_certificate,has_parking,neighborhood,district,house_type,Unnamed: 0,title,subtitle,sq_mt_useful,raw_address,is_exact_address_hidden,street_name,street_number,portal,is_floor_under,door,neighborhood_id,operation,rent_price,rent_price_by_area,is_rent_price_known,buy_price_by_area,is_buy_price_known,house_type_id,is_new_development,built_year,has_central_heating,has_individual_heating,are_pets_allowed,has_ac,has_fitted_wardrobes,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_furnished,is_kitchen_equipped,is_accessible,has_green_zones,has_private_parking,has_public_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
21742,40.3445124,-3.6894412,"Calle de Godella, 64, San Cristóbal, Madrid",64.0,2,1,1,0.0,3,85000,False,False,True,4,False,135,21,1,0,"Piso en venta en calle de Godella, 64","San Cristóbal, Madrid",60.0,"Calle de Godella, 64",False,Calle de Godella,64,,False,,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,sale,471,,False,1328,True,HouseType 1: Pisos,False,1960.0,,,,True,,,,,,,,,,,,,,,False,True,False,False
21741,40.3538503,-3.6983625,"Calle de la del Manojo de Rosas, Los Ángeles, Madrid",70.0,3,1,1,0.0,4,129900,True,True,True,0,False,132,21,1,1,Piso en venta en calle de la del Manojo de Rosas,"Los Ángeles, Madrid",,Calle de la del Manojo de Rosas,True,Calle de la del Manojo de Rosas,,,False,,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,666,,False,1856,True,HouseType 1: Pisos,False,,,,,,True,,,True,,,,,,,,,,,,,,
21738,40.3533802,-3.6901152,"Carretera de Villaverde a Vallecas, Los Rosales, Madrid",108.0,2,2,1,0.0,4,260000,False,True,True,0,True,133,21,1,4,Piso en venta en carretera de Villaverde a Vallecas,"Los Rosales, Madrid",90.0,Carretera de Villaverde a Vallecas,True,Carretera de Villaverde a Vallecas,,,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,1094,,False,2407,True,HouseType 1: Pisos,False,2003.0,,,,True,True,,True,,,True,,,,True,,,True,0.0,True,True,True,True
21733,40.3532352,-3.6899154,"Calle de Martinez Oviol, Los Rosales, Madrid",85.0,2,1,1,0.0,7,131400,True,False,True,0,False,133,21,1,9,Piso en venta en calle de Martinez Oviol,"Los Rosales, Madrid",,Calle de Martinez Oviol,True,Calle de Martinez Oviol,,,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,672,,False,1546,True,HouseType 1: Pisos,False,1950.0,False,True,,,,,,True,,,,,,,,,,,False,True,False,False
21730,40.3613894,-3.6894222,"Calle de la Unanimidad, 67, Los Rosales, Madrid",123.0,3,2,1,0.0,4,195000,False,True,True,4,False,133,21,1,12,"Piso en venta en calle de la Unanimidad, 67","Los Rosales, Madrid",104.0,"Calle de la Unanimidad, 67",False,Calle de la Unanimidad,67,,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,901,,False,1585,True,HouseType 1: Pisos,False,1992.0,,,,True,True,,,,,,,,,,,,,,False,False,False,True
21729,40.35101745,-3.701777508622853,"Calle de Anoeta, 63, Los Ángeles, Madrid",109.0,3,2,1,0.0,3,205000,False,True,True,3,False,132,21,1,13,"Piso en venta en calle de Anoeta, 63","Los Ángeles, Madrid",90.0,"Calle de Anoeta, 63",False,Calle de Anoeta,63,,False,,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,933,,False,1881,True,HouseType 1: Pisos,False,1983.0,,,,,True,,,True,,True,,,,,,,,,False,False,True,False
21727,40.3528454,-3.6894826,"Calle San Macario, Los Rosales, Madrid",115.0,3,1,1,0.0,3,160000,False,False,True,0,False,133,21,1,15,Piso en venta en calle San Macario,"Los Rosales, Madrid",,Calle San Macario,True,Calle San Macario,,,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,780,,False,1391,True,HouseType 1: Pisos,False,,False,True,,True,,,,True,,True,,,,,,,,,,,,
21719,40.2851537,-3.7934286,"Camino Leganés, San Andrés, Madrid",51.0,2,1,1,0.0,-2,93000,False,False,True,0,False,134,21,1,23,Piso en venta en camino Leganés,"San Andrés, Madrid",,Camino Leganés,True,Camino Leganés,,,True,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,508,,False,1824,True,HouseType 1: Pisos,False,,,,,,,,,,,,,,,,,,,,,,,
21714,40.3533128,-3.6909843,"Calle Villajoyosa, Los Rosales, Madrid",65.0,3,1,1,0.0,1,150000,True,True,True,0,False,133,21,1,28,Piso en venta en calle Villajoyosa,"Los Rosales, Madrid",63.0,Calle Villajoyosa,True,Calle Villajoyosa,,,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,744,,False,2308,True,HouseType 1: Pisos,False,1976.0,False,True,,,True,,True,,,,,,,,,,,,,,,
21708,40.3540323,-3.6816541,"Concepción de la Oliva, 21, Butarque, Madrid",61.0,3,1,1,0.0,5,100000,False,False,True,0,False,131,21,1,34,"Piso en venta en Concepción de la Oliva, 21","Butarque, Madrid",56.0,"Concepción de la Oliva, 21",False,Concepción de la Oliva,21,,False,,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,539,,False,1639,True,HouseType 1: Pisos,False,1966.0,False,True,,,,,,,True,,,,,,,,,,True,False,True,False
21704,40.3545402,-3.6943774,"Calle la Dolorosa, Los Ángeles, Madrid",78.0,4,1,1,0.0,2,146700,False,True,True,1,False,132,21,1,38,Piso en venta en calle la Dolorosa,"Los Ángeles, Madrid",63.0,Calle la Dolorosa,True,Calle la Dolorosa,,,False,,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,731,,False,1881,True,HouseType 1: Pisos,,,,,,,True,,,,,,,,True,,,,,,False,False,True,False
21703,40.350523,-3.6877894,"Calle Encarnación Oviol, Los Rosales, Madrid",52.0,1,1,1,0.0,1,92500,False,False,True,1,False,133,21,1,39,Piso en venta en calle Encarnación Oviol,"Los Rosales, Madrid",41.0,Calle Encarnación Oviol,True,Calle Encarnación Oviol,,,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,505,,False,1779,True,HouseType 1: Pisos,,,False,True,,True,,,,,,,,,,,,,,,,,,
21702,40.34903,-3.6760582,"Calle ESTEFANITA, Butarque, Madrid",125.0,3,3,2,0.0,7,275000,False,True,True,4,False,131,21,4,40,Dúplex en venta en calle ESTEFANITA,"Butarque, Madrid",,Calle ESTEFANITA,True,Calle ESTEFANITA,,,False,,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1135,,False,2200,True,HouseType 4: Dúplex,False,2004.0,,,,True,,,True,True,,True,,,,,,,,,,,,
21700,40.338156,-3.679459,"Calle Arroyo de la Bulera, 31, Butarque, Madrid",97.0,2,2,1,0.0,-1,266122,False,True,True,0,False,131,21,1,42,"Piso en venta en calle Arroyo de la Bulera, 31","Butarque, Madrid",73.0,"Calle Arroyo de la Bulera, 31",False,Calle Arroyo de la Bulera,31,,True,,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1111,,False,2744,True,HouseType 1: Pisos,True,,,,,,,,True,True,,,,,,True,,,,,,,,
21697,40.3389062,-3.6772808,"Villaverde a perales, Butarque, Madrid",83.0,2,2,1,0.0,7,228273,False,True,True,0,True,131,21,5,45,Ático en venta en Villaverde a perales,"Butarque, Madrid",69.0,Villaverde a perales,True,Villaverde a perales,,,False,,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,1004,,False,2750,True,HouseType 5: Áticos,False,2020.0,False,True,,True,True,,True,True,,True,,,True,True,,,True,0.0,,,,
